0.999,0.001,the
0.999,0.001,oovword
0.999,0.001,oovword
1.0,0.0,oovword
0.999,0.001,oovword
1.0,0.0,which
1.0,0.0,at
1.0,0.0,the
1.0,0.0,time
1.0,0.0,only
1.0,0.0,had
0.999,0.001,about
0.999,0.001,30
0.999,0.001,or
0.999,0.001,so
0.999,0.001,elite
0.999,0.001,international
0.999,0.001,competitors
0.999,0.001,30
0.999,0.001,people
0.999,0.001,just
0.999,0.001,isn’t
0.999,0.001,a
0.999,0.001,lot
0.999,0.001,in
0.999,0.001,fact
0.999,0.001,there
0.999,0.001,are
0.999,0.001,more
0.999,0.001,people
0.999,0.001,named
0.999,0.001,oovword
0.999,0.001,oovword
0.999,0.001,than
0.999,0.001,there
0.999,0.001,were
0.999,0.001,oovword
0.999,0.001,oovword
0.999,0.001,oovword
0.999,0.001,for
0.999,0.001,oovword
0.999,0.001,oovword
0.999,0.001,to
1.0,0.0,compete
1.0,0.0,oovword
1.0,0.0,least
1.0,0.0,according
1.0,0.0,to
1.0,0.0,the
1.0,0.0,very
0.999,0.001,oovword
0.999,0.001,facebook
0.999,0.001,search
0.999,0.001,i
0.999,0.001,did
0.999,0.001,so
0.999,0.001,i
0.999,0.001,could
0.999,0.001,write
0.999,0.001,that
0.999,0.001,but
0.999,0.001,still
0.999,0.001,it
0.999,0.001,oovword
0.999,0.001,going
0.999,0.001,to
0.999,0.001,be
0.999,0.001,easy
0.999,0.001,you
0.999,0.001,see
0.999,0.001,because
0.999,0.001,of
0.999,0.001,their
0.999,0.001,oovword
0.998,0.002,commitment
0.999,0.001,to
0.999,0.001,having
0.998,0.002,oovword
0.999,0.001,oovword
0.999,0.001,compete
0.999,0.001,the
0.999,0.001,oovword
0.999,0.001,oovword
0.999,0.001,sets
0.998,0.002,minimum
0.998,0.002,requirements
0.999,0.001,for
0.999,0.001,each
0.999,0.001,sport
0.999,0.001,for
0.999,0.001,the
0.999,0.001,oovword
0.999,0.001,there
0.999,0.001,were
0.999,0.001,two
0.999,0.001,first
0.999,0.001,that
0.999,0.001,the
0.999,0.001,oovword
0.999,0.001,has
0.999,0.001,finished
0.999,0.001,in
0.999,0.001,the
0.999,0.001,top
0.999,0.001,30
0.998,0.002,at
0.999,0.001,either
0.998,0.002,a
0.998,0.002,oovword
